path,size,ext
.clinerules,59120,
.cursorrules,59120,
.dockerignore,361,
.env.sample,181,.sample
.gitignore,1141,
.windsurfrules,59120,
Dockerfile,294,
flow.py,1107,.py
LICENSE,1091,
main.py,4579,.py
nodes.py,42403,.py
README.md,9554,.md
requirements.txt,162,.txt
.git\config,364,
.git\description,73,
.git\HEAD,21,
.git\index,22141,
.git\packed-refs,191,
assets\banner.png,5024749,.png
assets\example.png,678115,.png
assets\youtube_thumbnail.png,1118614,.png
docs\design.md,16231,.md
docs\index.md,3166,.md
docs\_config.yml,994,.yml
utils\call_llm.py,7597,.py
utils\crawl_github_files.py,17249,.py
utils\crawl_local_files.py,5489,.py
utils\__init__.py,0,.py
docs\AutoGen Core\01_agent.md,12917,.md
docs\AutoGen Core\02_messaging_system__topic___subscription_.md,14529,.md
docs\AutoGen Core\03_agentruntime.md,19379,.md
docs\AutoGen Core\04_tool.md,15866,.md
docs\AutoGen Core\05_chatcompletionclient.md,16139,.md
docs\AutoGen Core\06_chatcompletioncontext.md,16102,.md
docs\AutoGen Core\07_memory.md,15896,.md
docs\AutoGen Core\08_component.md,18034,.md
docs\AutoGen Core\index.md,1715,.md
docs\Browser Use\01_agent.md,14089,.md
docs\Browser Use\02_system_prompt.md,12716,.md
docs\Browser Use\03_browsercontext.md,15957,.md
docs\Browser Use\04_dom_representation.md,17961,.md
docs\Browser Use\05_action_controller___registry.md,19305,.md
docs\Browser Use\06_message_manager.md,20873,.md
docs\Browser Use\07_data_structures__views_.md,13784,.md
docs\Browser Use\08_telemetry_service.md,14570,.md
docs\Browser Use\index.md,1920,.md
docs\Celery\01_celery_app.md,14195,.md
docs\Celery\02_configuration.md,12951,.md
docs\Celery\03_task.md,14643,.md
docs\Celery\04_broker_connection__amqp_.md,11068,.md
docs\Celery\05_worker.md,14892,.md
docs\Celery\06_result_backend.md,17536,.md
docs\Celery\07_beat__scheduler_.md,16741,.md
docs\Celery\08_canvas__signatures___primitives_.md,18464,.md
docs\Celery\09_events.md,16380,.md
docs\Celery\10_bootsteps.md,13922,.md
docs\Celery\index.md,1803,.md
docs\Click\01_command___group.md,9411,.md
docs\Click\02_decorators.md,12926,.md
docs\Click\03_parameter__option___argument_.md,13728,.md
docs\Click\04_paramtype.md,12554,.md
docs\Click\05_context.md,14413,.md
docs\Click\06_term_ui__terminal_user_interface_.md,12843,.md
docs\Click\07_click_exceptions.md,14149,.md
docs\Click\index.md,1474,.md
docs\Codex\01_terminal_ui__ink_components_.md,15896,.md
docs\Codex\02_input_handling__textbuffer_editor_.md,18764,.md
docs\Codex\03_agent_loop.md,18495,.md
docs\Codex\04_approval_policy___security.md,14149,.md
docs\Codex\05_response___tool_call_handling.md,17650,.md
docs\Codex\06_command_execution___sandboxing.md,18536,.md
docs\Codex\07_configuration_management.md,14675,.md
docs\Codex\08_single_pass_mode.md,17905,.md
docs\Codex\index.md,1567,.md
docs\Crawl4AI\01_asynccrawlerstrategy.md,12341,.md
docs\Crawl4AI\02_asyncwebcrawler.md,18310,.md
docs\Crawl4AI\03_crawlerrunconfig.md,14146,.md
docs\Crawl4AI\04_contentscrapingstrategy.md,16517,.md
docs\Crawl4AI\05_relevantcontentfilter.md,22241,.md
docs\Crawl4AI\06_extractionstrategy.md,24147,.md
docs\Crawl4AI\07_crawlresult.md,17342,.md
docs\Crawl4AI\08_deepcrawlstrategy.md,21118,.md
docs\Crawl4AI\09_cachecontext___cachemode.md,17664,.md
docs\Crawl4AI\10_basedispatcher.md,19906,.md
docs\Crawl4AI\index.md,1902,.md
docs\CrewAI\01_crew.md,11149,.md
docs\CrewAI\02_agent.md,11428,.md
docs\CrewAI\03_task.md,15445,.md
docs\CrewAI\04_tool.md,16862,.md
docs\CrewAI\05_process.md,16323,.md
docs\CrewAI\06_llm.md,18509,.md
docs\CrewAI\07_memory.md,14011,.md
docs\CrewAI\08_knowledge.md,17020,.md
docs\CrewAI\index.md,1362,.md
docs\DSPy\01_module___program.md,13329,.md
docs\DSPy\02_signature.md,10538,.md
docs\DSPy\03_example.md,11781,.md
docs\DSPy\04_predict.md,13050,.md
docs\DSPy\05_lm__language_model_client_.md,16904,.md
docs\DSPy\06_rm__retrieval_model_client_.md,19230,.md
docs\DSPy\07_evaluate.md,17523,.md
docs\DSPy\08_teleprompter___optimizer.md,17479,.md
docs\DSPy\09_adapter.md,17701,.md
docs\DSPy\10_settings.md,17313,.md
docs\DSPy\index.md,1771,.md
docs\FastAPI\01_fastapi_application___routing.md,12888,.md
docs\FastAPI\02_path_operations___parameter_declaration.md,21320,.md
